# La4Ni3O8 O K edge XAS
# T = 25 K
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy 	 TEY 	 TFY
5.50747e+02 8.66091e-01 1.01674e+00
5.50944e+02 8.64518e-01 1.03041e+00
5.51149e+02 8.66887e-01 1.04291e+00
5.51346e+02 8.66543e-01 1.05609e+00
5.51541e+02 8.68952e-01 1.06213e+00
5.51750e+02 8.73639e-01 1.06798e+00
5.51947e+02 8.78384e-01 1.06546e+00
5.52148e+02 8.84742e-01 1.06191e+00
5.52340e+02 8.91856e-01 1.05804e+00
5.52543e+02 8.93399e-01 1.05177e+00
5.52750e+02 9.04716e-01 1.04738e+00
5.52951e+02 9.06456e-01 1.03875e+00
5.53145e+02 9.12587e-01 1.03271e+00
5.53354e+02 9.17877e-01 1.02946e+00
5.53538e+02 9.23876e-01 1.02218e+00
5.53747e+02 9.26056e-01 1.01729e+00
5.53946e+02 9.35762e-01 1.00974e+00
5.54144e+02 9.40185e-01 1.01271e+00
5.54348e+02 9.46574e-01 1.01010e+00
5.54544e+02 9.51614e-01 1.02205e+00
5.54745e+02 9.57284e-01 1.02121e+00
5.54953e+02 9.64866e-01 1.02727e+00
5.55145e+02 9.68490e-01 1.03357e+00
5.55346e+02 9.72385e-01 1.04153e+00
5.55544e+02 9.77641e-01 1.04878e+00
5.55746e+02 9.83604e-01 1.05859e+00
5.55953e+02 9.88273e-01 1.06801e+00
5.56148e+02 9.95718e-01 1.08207e+00
5.56346e+02 1.00268e+00 1.08787e+00
5.56546e+02 1.00828e+00 1.09667e+00
5.56747e+02 1.01627e+00 1.11242e+00
5.56951e+02 1.03437e+00 1.13202e+00
5.57145e+02 1.04113e+00 1.14257e+00
5.57348e+02 1.05155e+00 1.15602e+00
5.57545e+02 1.05843e+00 1.16896e+00
5.57744e+02 1.06485e+00 1.17561e+00
5.57946e+02 1.07233e+00 1.17788e+00
5.58145e+02 1.07897e+00 1.18068e+00
5.58349e+02 1.08674e+00 1.18639e+00
5.58547e+02 1.09330e+00 1.18720e+00
5.58751e+02 1.10007e+00 1.18478e+00
5.58946e+02 1.10516e+00 1.18577e+00
5.59144e+02 1.11620e+00 1.18380e+00
5.59347e+02 1.12596e+00 1.17900e+00
5.59547e+02 1.13323e+00 1.17938e+00
5.59746e+02 1.13966e+00 1.17846e+00
5.59953e+02 1.14629e+00 1.17079e+00
