# La4Ni3O10 O K edge XAS
# Room temperature
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy 	 TEY 	 TFY
5.50747e+02 8.11726e-01 8.61567e-01
5.50944e+02 8.06066e-01 8.64530e-01
5.51142e+02 8.07689e-01 8.71411e-01
5.51349e+02 8.06993e-01 8.74113e-01
5.51548e+02 8.08528e-01 8.78373e-01
5.51743e+02 8.09332e-01 8.87261e-01
5.51951e+02 8.12596e-01 8.89235e-01
5.52141e+02 8.18864e-01 8.97699e-01
5.52351e+02 8.20976e-01 9.09265e-01
5.52548e+02 8.25634e-01 9.13825e-01
5.52748e+02 8.30373e-01 9.23319e-01
5.52947e+02 8.37490e-01 9.33844e-01
5.53142e+02 8.50720e-01 9.44118e-01
5.53343e+02 8.50404e-01 9.49573e-01
5.53545e+02 8.53759e-01 9.59742e-01
5.53749e+02 8.57383e-01 9.59683e-01
5.53946e+02 8.63135e-01 9.67924e-01
5.54146e+02 8.63230e-01 9.64826e-01
5.54338e+02 8.80729e-01 9.68974e-01
5.54546e+02 8.79546e-01 9.69983e-01
5.54743e+02 8.84916e-01 9.63422e-01
5.54949e+02 8.83605e-01 9.59008e-01
5.55136e+02 8.85571e-01 9.61519e-01
5.55354e+02 8.85486e-01 9.53777e-01
5.55546e+02 8.87657e-01 9.49444e-01
5.55744e+02 8.85380e-01 9.50493e-01
5.55951e+02 8.80095e-01 9.48073e-01
5.56149e+02 8.88354e-01 9.46054e-01
5.56341e+02 8.90707e-01 9.44324e-01
5.56543e+02 8.92201e-01 9.42068e-01
5.56754e+02 8.96236e-01 9.45719e-01
5.56944e+02 8.96351e-01 9.37974e-01
5.57147e+02 9.00114e-01 9.44490e-01
5.57344e+02 9.01477e-01 9.40147e-01
5.57545e+02 9.05341e-01 9.46087e-01
5.57750e+02 9.08410e-01 9.48776e-01
5.57940e+02 9.11794e-01 9.50996e-01
5.58140e+02 9.24503e-01 9.53253e-01
5.58351e+02 9.21846e-01 9.56673e-01
5.58545e+02 9.26226e-01 9.66050e-01
5.58940e+02 9.30659e-01 9.71926e-01
5.59144e+02 9.33883e-01 9.79954e-01
5.59348e+02 9.39172e-01 9.86408e-01
5.59547e+02 9.45233e-01 9.91529e-01
5.59744e+02 9.47682e-01 9.93957e-01
5.59955e+02 9.50856e-01 1.00238e+00
