# Elastic line measurement
# Soleil March/2017
# Energy = 849.87 eV
# pixel 	 data 	 fit
5.025000e+01 -4.004315e+02 4.834266e+02
5.075000e+01 -3.476245e+02 4.834266e+02
5.125000e+01 -2.608175e+02 4.834266e+02
5.175000e+01 -3.540106e+02 4.834266e+02
5.225000e+01 -4.362036e+02 4.834266e+02
5.275000e+01 -4.423966e+02 4.834266e+02
5.325000e+01 -3.085897e+02 4.834266e+02
5.375000e+01 -3.597827e+02 4.834266e+02
5.425000e+01 -3.379758e+02 4.834266e+02
5.475000e+01 -1.461688e+02 4.834266e+02
5.525000e+01 -4.503618e+02 4.834266e+02
5.575000e+01 -2.665549e+02 4.834266e+02
5.625000e+01 -5.637479e+02 4.834266e+02
5.675000e+01 -2.029409e+02 4.834266e+02
5.725000e+01 -3.371340e+02 4.834266e+02
5.775000e+01 -3.123270e+02 4.834266e+02
5.825000e+01 -4.125201e+02 4.834266e+02
5.875000e+01 -3.757131e+02 4.834266e+02
5.925000e+01 -2.719061e+02 4.834266e+02
5.975000e+01 -2.260992e+02 4.834266e+02
6.025000e+01 -3.362922e+02 4.834266e+02
6.075000e+01 -3.074852e+02 4.834266e+02
6.125000e+01 -4.186783e+02 4.834266e+02
6.175000e+01 -3.108713e+02 4.834266e+02
6.225000e+01 -3.600644e+02 4.834266e+02
6.275000e+01 -3.472574e+02 4.834266e+02
6.325000e+01 -2.304504e+02 4.834266e+02
6.375000e+01 -4.076435e+02 4.834266e+02
6.425000e+01 -3.058365e+02 4.834266e+02
6.475000e+01 -3.230295e+02 4.834266e+02
6.525000e+01 -3.262226e+02 4.834266e+02
6.575000e+01 -3.934156e+02 4.834266e+02
6.625000e+01 -5.726087e+02 4.834266e+02
6.675000e+01 -3.328017e+02 4.834266e+02
6.725000e+01 -5.309947e+02 4.834266e+02
6.775000e+01 -2.681878e+02 4.834266e+02
6.825000e+01 -3.093808e+02 4.834266e+02
6.875000e+01 -1.815738e+02 4.834266e+02
6.925000e+01 -2.557669e+02 4.834266e+02
6.975000e+01 -3.449599e+02 4.834266e+02
7.025000e+01 -3.041530e+02 4.834266e+02
7.075000e+01 -3.573460e+02 4.834266e+02
7.125000e+01 -3.655390e+02 4.834266e+02
7.175000e+01 -2.117321e+02 4.834266e+02
7.225000e+01 -3.889251e+02 4.834266e+02
7.275000e+01 -3.841181e+02 4.834266e+02
7.325000e+01 -2.853112e+02 4.834266e+02
7.375000e+01 -4.475042e+02 4.834266e+02
7.425000e+01 -4.546973e+02 4.834266e+02
7.475000e+01 -2.128903e+02 4.834266e+02
7.525000e+01 -2.770833e+02 4.834266e+02
7.575000e+01 -2.922764e+02 4.834266e+02
7.625000e+01 -3.524694e+02 4.834266e+02
7.675000e+01 -3.336624e+02 4.834266e+02
7.725000e+01 -2.808555e+02 4.834266e+02
7.775000e+01 -3.720485e+02 4.834266e+02
7.825000e+01 -3.742416e+02 4.834266e+02
7.875000e+01 -2.104346e+02 4.834266e+02
7.925000e+01 -1.846276e+02 4.834266e+02
