# La4Ni3O8 O K edge XAS
# T = 25 K
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy 	 TEY 	 TFY
5.50951e+02 8.19886e-01 9.71471e-01
5.51147e+02 8.29377e-01 9.78938e-01
5.51346e+02 8.29343e-01 9.71322e-01
5.51546e+02 8.31705e-01 9.62605e-01
5.51748e+02 8.31612e-01 9.56129e-01
5.51945e+02 8.36268e-01 9.46692e-01
5.52150e+02 8.39131e-01 9.29912e-01
5.52345e+02 8.43049e-01 9.23833e-01
5.52543e+02 8.48467e-01 9.09308e-01
5.52750e+02 8.48519e-01 8.96457e-01
5.52946e+02 8.52435e-01 8.86102e-01
5.53154e+02 8.55665e-01 8.66573e-01
5.53342e+02 8.61065e-01 8.56364e-01
5.53543e+02 8.63233e-01 8.45418e-01
5.53749e+02 8.67768e-01 8.34641e-01
5.53946e+02 8.67426e-01 8.27174e-01
5.54148e+02 8.70076e-01 8.21417e-01
5.54343e+02 8.74126e-01 8.10985e-01
5.54547e+02 8.75776e-01 8.12540e-01
5.54743e+02 8.81355e-01 8.07568e-01
5.54949e+02 8.86595e-01 8.07626e-01
5.55145e+02 8.89411e-01 8.03357e-01
5.55354e+02 8.92568e-01 8.11862e-01
5.55542e+02 8.98333e-01 8.07991e-01
5.55748e+02 9.02590e-01 8.09107e-01
5.55953e+02 9.07145e-01 8.16312e-01
5.56144e+02 9.12375e-01 8.18657e-01
5.56344e+02 9.16100e-01 8.25154e-01
5.56552e+02 9.24449e-01 8.34174e-01
5.56745e+02 9.28678e-01 8.42283e-01
5.56948e+02 9.35842e-01 8.47996e-01
5.57145e+02 9.41076e-01 8.56008e-01
5.57353e+02 9.49496e-01 8.64896e-01
5.57545e+02 9.56811e-01 8.77837e-01
5.57746e+02 9.65195e-01 8.83987e-01
5.57944e+02 9.70500e-01 8.94966e-01
5.58145e+02 9.78398e-01 9.04457e-01
5.58351e+02 9.88476e-01 9.15148e-01
5.58542e+02 9.95088e-01 9.23346e-01
5.58742e+02 1.01350e+00 9.37357e-01
5.58942e+02 1.02112e+00 9.50682e-01
5.59141e+02 1.02650e+00 9.56221e-01
5.59336e+02 1.03391e+00 9.63248e-01
5.59544e+02 1.04143e+00 9.70718e-01
5.59750e+02 1.04639e+00 9.84356e-01
5.59949e+02 1.05104e+00 9.86334e-01
