# La4Ni3O8 Ni L2,3 edge XAS
# T = 25 K
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy 	 TEY 	 TFY
8.70863e+02 1.02661e-01 2.27275e-01
8.71073e+02 1.00734e-01 2.08822e-01
8.71261e+02 9.78129e-02 1.93671e-01
8.71466e+02 9.28940e-02 1.79450e-01
8.71663e+02 8.78386e-02 1.67162e-01
8.71864e+02 8.23641e-02 1.55613e-01
8.72065e+02 7.86011e-02 1.47793e-01
8.72276e+02 7.50305e-02 1.38285e-01
8.72455e+02 7.21480e-02 1.32378e-01
8.72670e+02 7.00629e-02 1.26761e-01
8.72867e+02 6.81285e-02 1.22251e-01
8.73055e+02 6.67310e-02 1.18604e-01
8.73266e+02 6.55116e-02 1.15314e-01
8.73468e+02 6.44945e-02 1.14207e-01
8.73675e+02 6.36967e-02 1.10305e-01
8.73863e+02 6.28217e-02 1.10386e-01
8.74066e+02 6.22544e-02 1.08185e-01
8.74259e+02 6.16409e-02 1.06732e-01
8.74461e+02 6.13398e-02 1.06391e-01
8.74668e+02 6.09721e-02 1.05024e-01
8.74867e+02 6.06689e-02 1.03037e-01
8.75047e+02 6.02642e-02 1.01937e-01
8.75268e+02 6.03124e-02 1.01783e-01
8.75457e+02 6.08106e-02 1.00598e-01
8.75664e+02 6.11692e-02 1.01684e-01
8.75854e+02 6.11463e-02 1.01664e-01
8.76057e+02 6.09010e-02 9.99883e-02
8.76256e+02 6.09731e-02 9.89098e-02
8.76477e+02 6.12078e-02 9.84693e-02
8.76649e+02 6.09706e-02 9.67717e-02
8.76866e+02 6.10168e-02 9.53055e-02
8.77047e+02 6.11260e-02 9.52809e-02
8.77269e+02 6.09315e-02 9.31004e-02
8.77468e+02 6.09523e-02 9.29618e-02
8.77650e+02 6.08243e-02 9.29477e-02
8.77872e+02 6.07258e-02 9.00283e-02
8.78080e+02 6.03399e-02 8.93657e-02
8.78275e+02 6.04927e-02 8.94221e-02
8.78452e+02 6.03043e-02 8.77257e-02
8.78684e+02 6.01830e-02 8.78385e-02
8.78861e+02 5.96898e-02 8.70502e-02
8.79052e+02 5.95456e-02 8.65662e-02
8.79261e+02 5.90987e-02 8.58848e-02
8.79453e+02 5.89550e-02 8.45208e-02
8.79653e+02 5.83822e-02 8.57133e-02
8.79858e+02 5.83192e-02 8.23592e-02
