# La4Ni3O10 O K edge XAS
# Room temperature
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy 	 TEY 	 TFY
8.70854e+02 7.67281e-02 2.03963e-01
8.71082e+02 7.54082e-02 2.02696e-01
8.71243e+02 7.31558e-02 1.99657e-01
8.71448e+02 6.98634e-02 1.90909e-01
8.71667e+02 6.66429e-02 1.78103e-01
8.71873e+02 6.37492e-02 1.62666e-01
8.72065e+02 6.11505e-02 1.50144e-01
8.72280e+02 5.83791e-02 1.36727e-01
8.72468e+02 5.67687e-02 1.23562e-01
8.72683e+02 5.45591e-02 1.12860e-01
8.72867e+02 5.32926e-02 1.02422e-01
8.73051e+02 5.20710e-02 9.47004e-02
8.73271e+02 5.09861e-02 8.94575e-02
8.73464e+02 5.01914e-02 8.25514e-02
8.73657e+02 4.96383e-02 7.89464e-02
8.73868e+02 4.89450e-02 7.23562e-02
8.74066e+02 4.83936e-02 7.01095e-02
8.74272e+02 4.80035e-02 6.67139e-02
8.74470e+02 4.74655e-02 6.24358e-02
8.74673e+02 4.71554e-02 5.70380e-02
8.74867e+02 4.72274e-02 5.71760e-02
8.75069e+02 4.64303e-02 5.46460e-02
8.75263e+02 4.64655e-02 5.40855e-02
8.75461e+02 4.62701e-02 5.31195e-02
8.75673e+02 4.63107e-02 5.14998e-02
8.75895e+02 4.66385e-02 5.16584e-02
8.76071e+02 4.68256e-02 5.23738e-02
8.76274e+02 4.66426e-02 5.06222e-02
8.76477e+02 4.65840e-02 4.99152e-02
8.76685e+02 4.65258e-02 4.97336e-02
8.76848e+02 4.66092e-02 5.08437e-02
8.77065e+02 4.69817e-02 5.04575e-02
8.77269e+02 4.72209e-02 5.00980e-02
8.77455e+02 4.70741e-02 5.15785e-02
8.77636e+02 4.71547e-02 5.09744e-02
8.77876e+02 4.68728e-02 5.10689e-02
8.78076e+02 4.68962e-02 4.99661e-02
8.78275e+02 4.68993e-02 4.99043e-02
8.78443e+02 4.68194e-02 4.96235e-02
8.78670e+02 4.63924e-02 4.72266e-02
8.78848e+02 4.63166e-02 4.72569e-02
8.79061e+02 4.60244e-02 4.61069e-02
8.79257e+02 4.57845e-02 4.54374e-02
8.79462e+02 4.57545e-02 4.40974e-02
8.79662e+02 4.55295e-02 4.49350e-02
8.79871e+02 4.52759e-02 4.29776e-02
